current,pow,throttle,volt,speed,fwd,rev,tic,timestamp
327,673,161,304,0,0,0,100,1567566919.75
327,673,161,304,0,0,0,101,1567566919.85
327,673,161,301,0,0,0,99,1567566919.95
327,673,161,302,0,0,0,100,1567566920.05
327,673,161,304,0,0,0,100,1567566920.15
328,673,161,302,0,0,0,101,1567566920.25
328,673,161,304,0,0,0,99,1567566920.35
327,673,161,304,0,0,0,101,1567566920.45
327,673,161,304,0,0,0,99,1567566920.55
327,673,161,304,0,0,0,101,1567566920.65
327,673,161,304,0,0,0,99,1567566920.75
327,673,161,304,0,0,0,100,1567566920.85
328,673,161,305,0,0,0,101,1567566920.95
328,673,161,304,0,0,0,99,1567566921.05
329,673,161,304,0,0,0,100,1567566921.15
329,673,161,305,0,0,0,101,1567566921.25
328,673,161,304,0,0,0,99,1567566921.35
328,673,161,304,0,0,0,99,1567566921.45
328,673,161,305,0,0,0,101,1567566921.55
328,673,161,305,0,0,0,100,1567566921.85
332,672,161,304,0,0,0,101,1567566921.95
330,673,161,305,0,0,0,99,1567566922.05
329,672,161,305,0,0,0,100,1567566922.15
330,673,161,304,0,0,0,100,1567566922.25
330,673,161,304,0,0,0,100,1567566922.65
330,673,161,304,0,0,0,100,1567566922.85
330,672,161,305,0,0,0,99,1567566922.95
330,673,161,305,0,0,0,102,1567566923.05
330,673,161,305,0,0,0,99,1567566923.15
330,673,161,305,0,0,0,101,1567566923.35
329,673,161,306,0,0,0,99,1567566923.45
330,673,161,307,0,0,0,101,1567566923.65
330,672,161,307,0,0,0,100,1567566923.95
330,673,161,306,0,0,0,100,1567566924.05
330,672,161,305,0,0,0,100,1567566924.15
330,673,161,307,0,0,0,101,1567566924.25
330,673,161,307,0,0,0,99,1567566924.35
330,673,161,306,0,0,0,99,1567566924.55
329,672,161,306,0,0,0,100,1567566924.65
329,673,161,307,0,0,0,100,1567566924.95
330,673,161,307,0,0,0,101,1567566925.05
330,673,161,306,0,0,0,100,1567566925.15
330,672,161,307,0,0,0,99,1567566925.25
329,673,161,308,0,0,0,101,1567566925.35
329,672,161,307,0,0,0,100,1567566925.55
330,672,161,309,0,0,0,100,1567566925.75
329,673,161,307,0,0,0,99,1567566926.05
330,673,161,308,0,0,0,100,1567566926.15
329,673,161,308,0,0,0,100,1567566926.25
330,672,161,308,0,0,0,100,1567566926.35
329,672,161,308,0,0,0,101,1567566926.55
330,673,161,307,0,0,0,99,1567566926.75
330,673,161,307,0,0,0,101,1567566926.85
329,672,161,307,0,0,0,100,1567566926.95
330,673,161,308,0,0,0,99,1567566927.15
330,673,161,334,0,0,0,100,1567566927.35
330,673,161,332,0,0,0,101,1567566927.45
330,673,161,333,0,0,0,99,1567566927.55
330,673,161,333,0,0,0,100,1567566927.65
329,673,161,337,0,0,0,100,1567566927.75
330,672,161,333,0,0,0,100,1567566927.85
330,673,161,334,0,0,0,99,1567566928.05
330,673,161,333,0,0,0,101,1567566928.25
330,673,161,333,0,0,0,99,1567566928.35
330,672,161,332,0,0,0,100,1567566928.45
330,673,161,333,0,0,0,100,1567566929.05
330,672,161,334,0,0,0,101,1567566929.15
330,673,161,333,0,0,0,99,1567566929.35
330,673,161,333,0,0,0,101,1567566929.45
330,672,161,334,0,0,0,100,1567566929.55
330,673,161,333,0,0,0,99,1567566929.65
329,673,161,332,0,0,0,98,1567566929.95
330,673,161,334,0,0,0,101,1567566930.25
330,673,161,332,0,0,0,99,1567566930.35
330,673,161,333,0,0,0,100,1567566930.55
330,672,161,328,0,0,0,99,1567566930.75
330,672,161,332,0,0,0,101,1567566930.85
330,673,161,332,0,0,0,99,1567566931.05
330,673,161,333,0,0,0,100,1567566931.15
330,673,161,332,0,0,0,100,1567566931.25
330,673,161,333,0,0,0,100,1567566931.45
329,673,161,334,0,0,0,100,1567566931.55
329,673,161,332,0,0,0,101,1567566931.75
330,673,161,333,0,0,0,99,1567566931.85
330,673,161,333,0,0,0,101,1567566931.95
330,673,161,334,0,0,0,99,1567566932.05
330,673,161,333,0,0,0,100,1567566932.25
331,673,161,332,0,0,0,101,1567566932.35
330,673,161,332,0,0,0,100,1567566932.55
330,673,161,334,0,0,0,101,1567566932.65
330,673,161,332,0,0,0,99,1567566932.75
329,673,161,333,0,0,0,100,1567566932.85
329,673,161,336,0,0,0,100,1567566932.95
330,673,161,334,0,0,0,100,1567566933.05
330,673,161,333,0,0,0,100,1567566933.15
330,673,161,334,0,0,0,100,1567566933.25
330,673,161,334,0,0,0,100,1567566933.35
329,673,161,333,0,0,0,101,1567566933.45
330,673,161,334,0,0,0,100,1567566933.55
330,673,161,335,0,0,0,99,1567566933.65
330,673,161,333,0,0,0,100,1567566933.85
329,673,161,333,0,0,0,100,1567566933.95
329,672,161,333,0,0,0,101,1567566934.05
330,673,161,334,0,0,0,99,1567566934.25
330,673,161,333,0,0,0,101,1567566934.35
329,673,161,334,0,0,0,100,1567566934.55
329,673,161,333,0,0,0,100,1567566934.65
329,673,161,332,0,0,0,101,1567566934.75
328,673,161,333,0,0,0,102,1567566934.95
328,673,161,333,0,0,0,98,1567566935.05
328,673,161,333,0,0,0,100,1567566935.15
328,673,161,333,0,0,0,101,1567566935.25
328,673,161,332,0,0,0,99,1567566935.35
328,673,161,334,0,0,0,100,1567566935.45
328,673,161,334,0,0,0,101,1567566935.55
328,673,161,335,0,0,0,99,1567566935.75
328,673,161,334,0,0,0,100,1567566935.95
328,673,161,333,0,0,0,100,1567566936.15
328,673,161,333,0,0,0,100,1567566936.25
328,673,161,333,0,0,0,101,1567566936.65
328,673,161,334,0,0,0,100,1567566936.75
328,673,161,334,0,0,0,99,1567566936.85
329,673,161,333,0,0,0,101,1567566936.95
328,673,161,333,0,0,0,100,1567566937.05
328,673,161,334,0,0,0,99,1567566937.15
328,673,161,333,0,0,0,101,1567566937.35
328,673,161,334,0,0,0,99,1567566937.45
329,673,161,333,0,0,0,100,1567566937.55
329,673,161,333,0,0,0,101,1567566937.65
328,673,161,333,0,0,0,99,1567566937.75
328,673,161,335,0,0,0,100,1567566937.85
329,673,161,333,0,0,0,99,1567566938.05
328,673,161,334,0,0,0,101,1567566938.15
329,673,161,334,0,0,0,99,1567566938.25
328,673,161,332,0,0,0,100,1567566938.55
328,673,161,333,0,0,0,100,1567566938.65
329,673,161,333,0,0,0,100,1567566938.75
328,673,161,333,0,0,0,100,1567566938.95
328,673,161,334,0,0,0,101,1567566939.05
328,673,161,334,0,0,0,99,1567566939.15
328,672,161,333,0,0,0,100,1567566939.25
328,673,161,334,0,0,0,100,1567566939.35
329,673,161,333,0,0,0,101,1567566939.45
329,673,161,333,0,0,0,99,1567566939.55
329,673,161,333,0,0,0,100,1567566939.75
329,673,161,333,0,0,0,100,1567566939.85
329,673,161,333,0,0,0,100,1567566939.95
328,673,161,333,0,0,0,100,1567566940.05
329,673,161,334,0,0,0,101,1567566940.15
329,673,161,334,0,0,0,100,1567566940.25
329,673,161,334,0,0,0,99,1567566940.35
329,673,161,332,0,0,0,101,1567566940.45
329,673,161,334,0,0,0,99,1567566940.55
329,673,161,333,0,0,0,100,1567566940.65
328,673,161,333,0,0,0,100,1567566940.75
328,673,161,333,0,0,0,101,1567566941.05
328,673,161,334,0,0,0,99,1567566941.15
328,673,161,333,0,0,0,100,1567566941.25
329,673,161,333,0,0,0,101,1567566941.35
329,673,161,333,0,0,0,99,1567566941.45
329,673,161,332,0,0,0,99,1567566941.55
329,673,161,333,0,0,0,101,1567566941.65
329,673,161,333,0,0,0,101,1567566941.95
329,673,161,334,0,0,0,99,1567566942.05
329,673,161,334,0,0,0,100,1567566942.15
329,673,161,333,0,0,0,100,1567566942.25
329,673,161,333,0,0,0,100,1567566942.35
328,673,161,332,0,0,0,100,1567566942.45
328,673,161,334,0,0,0,100,1567566942.65
328,673,161,333,0,0,0,100,1567566942.85
328,673,161,333,0,0,0,100,1567566942.95
329,673,161,334,0,0,0,101,1567566943.05
329,673,161,333,0,0,0,99,1567566943.25
328,673,161,334,0,0,0,100,1567566943.35
328,673,161,333,0,0,0,101,1567566943.45
328,673,161,333,0,0,0,99,1567566943.55
329,673,161,333,0,0,0,101,1567566943.65
329,673,161,334,0,0,0,99,1567566943.75
328,673,161,333,0,0,0,100,1567566943.85
328,673,161,334,0,0,0,101,1567566943.95
329,673,161,334,0,0,0,99,1567566944.05
328,673,161,333,0,0,0,100,1567566944.15
329,673,161,333,0,0,0,100,1567566944.25
329,673,161,333,0,0,0,100,1567566944.35
328,673,161,334,0,0,0,99,1567566944.45
328,673,161,333,0,0,0,102,1567566944.55
328,673,161,332,0,0,0,99,1567566944.65
328,673,161,334,0,0,0,99,1567566944.95
328,673,161,333,0,0,0,100,1567566945.05
329,673,161,333,0,0,0,100,1567566945.15
328,673,161,333,0,0,0,100,1567566945.25
329,673,161,335,0,0,0,101,1567566945.45
329,673,161,333,0,0,0,99,1567566945.55
328,672,161,332,0,0,0,100,1567566945.65
328,673,161,335,0,0,0,100,1567566945.75
328,673,161,334,0,0,0,100,1567566946.25
329,673,161,333,0,0,0,101,1567566946.35
328,673,161,334,0,0,0,100,1567566946.55
328,673,161,334,0,0,0,99,1567566946.65
328,673,161,332,0,0,0,100,1567566946.75
328,673,161,333,0,0,0,101,1567566946.85
328,673,161,333,0,0,0,100,1567566946.95
328,673,161,333,0,0,0,101,1567566947.15
329,673,161,333,0,0,0,100,1567566947.25
328,673,161,333,0,0,0,99,1567566947.35
328,673,161,334,0,0,0,100,1567566947.45
328,673,161,334,0,0,0,100,1567566947.55
328,673,161,333,0,0,0,100,1567566947.65
328,673,161,333,0,0,0,101,1567566947.85
328,673,161,334,0,0,0,99,1567566947.95
328,673,161,332,0,0,0,101,1567566948.05
328,673,161,333,0,0,0,99,1567566948.15
328,673,161,333,0,0,0,100,1567566948.25
328,673,161,333,0,0,0,100,1567566948.35
328,673,161,334,0,0,0,100,1567566948.45
328,673,161,333,0,0,0,102,1567566948.65
329,673,161,333,0,100,0,100,1567566949.05
329,673,161,331,0,100,0,100,1567566949.15
329,673,161,333,0,100,0,101,1567566949.25
328,673,161,332,0,100,0,99,1567566949.35
329,673,161,333,0,100,0,101,1567566949.45
328,673,161,332,0,100,0,99,1567566949.55
331,673,213,334,0,100,0,101,1567566949.75
330,673,221,334,0,100,0,99,1567566949.85
330,673,239,333,0,100,0,100,1567566949.95
330,673,265,333,0,100,0,100,1567566950.05
331,673,281,334,0,100,0,100,1567566950.15
331,672,288,334,0,100,0,100,1567566950.25
333,673,293,334,0,100,0,101,1567566950.35
333,672,294,332,1,100,0,99,1567566950.45
332,673,294,334,0,100,0,100,1567566950.55
333,673,294,333,0,100,0,101,1567566950.65
332,673,298,334,1,100,0,99,1567566950.75
332,672,292,333,0,100,0,100,1567566950.85
333,672,291,332,0,100,0,100,1567566950.95
333,673,296,334,1,100,0,100,1567566951.05
334,672,319,334,0,100,0,100,1567566951.15
336,673,374,333,1,100,0,99,1567566951.35
344,673,416,332,0,100,0,100,1567566951.45
342,672,426,333,1,100,0,100,1567566951.55
344,672,419,334,1,100,0,100,1567566951.65
345,672,394,334,2,100,0,102,1567566951.85
342,672,389,331,2,100,0,100,1567566952.05
345,672,388,333,2,100,0,100,1567566952.15
348,672,392,333,2,100,0,100,1567566952.25
347,672,397,333,2,100,0,101,1567566952.45
349,672,394,333,2,100,0,99,1567566952.55
352,672,393,334,3,100,0,98,1567566953.15
354,672,393,334,4,100,0,102,1567566953.25
